Serial,Event,Code Province/State,Province/State,Municipality,Date,Month,Day,Year,Deaths,Injured,Missing,Houses Destroyed,Houses Damaged,Affected,Evacuated,Losses $USD,Losses $Local,Education centers,Hospitals,Damages in crops Ha.,Agriculture,Year
4812,FLOOD,IDN73,SULAWESI SELATAN,TAKALAR,1-Jan-08,1,1,2008,,,,,,,,,,,,412,1,2008
4813,FLOOD,IDN13,SUMATERA BARAT,PESISIR SELATAN,1-Jan-08,1,1,2008,,,,,,,,,,,,1,1,2008
4810,FLOOD,IDN73,SULAWESI SELATAN,GOWA,1-Jan-08,1,1,2008,,,,,,,,,,,,27,1,2008
4765,FLOOD,IDN31,DKI JAKARTA,KOTA JAKARTA PUSAT,1-Jan-08,1,1,2008,,,,,,,,,,,,,,2008
4777,FLOOD,IDN32,JAWA BARAT,SUMEDANG,1-Jan-08,1,1,2008,,,,,,,,,,,,25,1,2008
4776,FLOOD,IDN32,JAWA BARAT,SUBANG,1-Jan-08,1,1,2008,,,,,,,,,,,,447,1,2008
4786,FLOOD,IDN33,JAWA TENGAH,PEKALONGAN,1-Jan-08,1,1,2008,,,,,,,,,,,,395,1,2008
4781,FLOOD,IDN33,JAWA TENGAH,JEPARA,1-Jan-08,1,1,2008,,,,,,,,,,,,778,1,2008
4767,FLOOD,IDN31,DKI JAKARTA,KOTA JAKARTA UTARA,1-Jan-08,1,1,2008,,,,,,,,,,,,,,2008
4779,FLOOD,IDN33,JAWA TENGAH,DEMAK,1-Jan-08,1,1,2008,,,,,,,,,,,,1107,1,2008
4780,FLOOD,IDN33,JAWA TENGAH,GROBOGAN,1-Jan-08,1,1,2008,,,,,,,,,,,,15,1,2008
4774,FLOOD,IDN32,JAWA BARAT,CIANJUR,1-Jan-08,1,1,2008,,,,,,,,,,,,2,1,2008
4778,FLOOD,IDN33,JAWA TENGAH,BLORA,1-Jan-08,1,1,2008,,,,,,,,,,,,243,1,2008
4797,FLOOD,IDN35,JAWA TIMUR,MOJOKERTO,1-Jan-08,1,1,2008,,,,,,,,,,,,45,1,2008
4784,FLOOD,IDN33,JAWA TENGAH,KOTA PEKALONGAN,1-Jan-08,1,1,2008,,,,,,,,,,,,1,1,2008
4772,FLOOD,IDN32,JAWA BARAT,BANDUNG,1-Jan-08,1,1,2008,,,,,,,,,,,,11,1,2008
4773,FLOOD,IDN32,JAWA BARAT,BEKASI,1-Jan-08,1,1,2008,,,,,,,,,,,,339,1,2008
4793,FLOOD,IDN35,JAWA TIMUR,LAMONGAN,1-Jan-08,1,1,2008,,,,,,,,,,,,3286,1,2008
4794,FLOOD,IDN35,JAWA TIMUR,MADIUN,1-Jan-08,1,1,2008,,,,,,,,,,,,94,1,2008
4800,FLOOD,IDN35,JAWA TIMUR,SUMENEP,1-Jan-08,1,1,2008,,,,,,,,,,,,5,1,2008
4802,FLOOD,IDN35,JAWA TIMUR,TUBAN,1-Jan-08,1,1,2008,,,,,,,,,,,,5756,1,2008
4795,FLOOD,IDN35,JAWA TIMUR,MAGETAN,1-Jan-08,1,1,2008,,,,,,,,,,,,209,1,2008
4796,FLOOD,IDN35,JAWA TIMUR,MALANG,1-Jan-08,1,1,2008,,,,,,,,,,,,99,1,2008
4801,FLOOD,IDN35,JAWA TIMUR,TRENGGALEK,1-Jan-08,1,1,2008,,,,,,,,,,,,20,1,2008
4798,FLOOD,IDN35,JAWA TIMUR,SIDOARJO,1-Jan-08,1,1,2008,,,,,,,,,,,,41,1,2008
4792,FLOOD,IDN35,JAWA TIMUR,JEMBER,1-Jan-08,1,1,2008,,,,,,,,,,,,45,1,2008
4799,FLOOD,IDN35,JAWA TIMUR,SITUBONDO,1-Jan-08,1,1,2008,,,,,,,,,,,,2,1,2008
4789,FLOOD,IDN33,JAWA TENGAH,WONOGIRI,1-Jan-08,1,1,2008,,,,,,,,,,,,754,1,2008
4782,FLOOD,IDN33,JAWA TENGAH,KARANGANYAR,1-Jan-08,1,1,2008,,,,,,,,,,,,100,1,2008
4785,FLOOD,IDN33,JAWA TENGAH,KUDUS,1-Jan-08,1,1,2008,,,,,,,,,,,,5726,1,2008
4811,FLOOD,IDN73,SULAWESI SELATAN,PANGKAJENE DAN KEPULAUAN,1-Jan-08,1,1,2008,,,,,,,,,,,,70,1,2008
4783,FLOOD,IDN33,JAWA TENGAH,KLATEN,1-Jan-08,1,1,2008,,,,,,,,,,,,403,1,2008
4791,FLOOD,IDN35,JAWA TIMUR,GRESIK,1-Jan-08,1,1,2008,,,,,,,,,,,,1744,1,2008
4790,FLOOD,IDN35,JAWA TIMUR,BOJONEGORO,1-Jan-08,1,1,2008,,,,,,,,,,,,5769,1,2008
4831,FLOOD,IDN31,DKI JAKARTA,KOTA JAKARTA TIMUR,2-Jan-08,1,2,2008,,,,,,,1466,,,,,,,2008
4832,FLOOD,IDN33,JAWA TENGAH,PATI,2-Jan-08,1,2,2008,,,,,1481,7284,,,,,,2712,1,2008
4838,FLOOD,IDN32,JAWA BARAT,INDRAMAYU,3-Jan-08,1,3,2008,,,1,,,,,,,,,1452,1,2008
4845,FLOOD,IDN33,JAWA TENGAH,KOTA SEMARANG,4-Jan-08,1,4,2008,,582,,,,,,,,,,,,2008
4890,FLOOD,IDN32,JAWA BARAT,CIREBON,18-Jan-08,1,18,2008,,2279,,9,3,,190,,,5,,794,1,2008
4891,FLOOD,IDN72,SULAWESI TENGAH,TOLI-TOLI,18-Jan-08,1,18,2008,,,,,5,,,,,,,,,2008
4894,FLOOD,IDN33,JAWA TENGAH,BOYOLALI,20-Jan-08,1,20,2008,,,,1,,,,,11,,,,,2008
4917,FLOOD,IDN32,JAWA BARAT,BOGOR,29-Jan-08,1,29,2008,,45,,,,,,,,,,,,2008
4920,FLOOD,IDN35,JAWA TIMUR,PASURUAN,30-Jan-08,1,30,2008,4,1843,,436,3552,,400,,21147.974,24,6,97,1,2008
4927,FLOOD,IDN31,DKI JAKARTA,KOTA JAKARTA BARAT,1-Feb-08,2,1,2008,5,,,,,,37606,,,,,,,2008
4928,FLOOD,IDN31,DKI JAKARTA,KOTA JAKARTA PUSAT,1-Feb-08,2,1,2008,,,,,,,20609,,,,,,,2008
4933,FLOOD,IDN32,JAWA BARAT,BEKASI,1-Feb-08,2,1,2008,,,,45,17,171135,1200,,,,,5223,1,2008
4930,FLOOD,IDN31,DKI JAKARTA,KOTA JAKARTA TIMUR,1-Feb-08,2,1,2008,1,,,,,,887,,,,,,,2008
4931,FLOOD,IDN31,DKI JAKARTA,KOTA JAKARTA UTARA,1-Feb-08,2,1,2008,,,,,,,250,,,,,,,2008
4949,FLOOD,IDN13,SUMATERA BARAT,PESISIR SELATAN,1-Feb-08,2,1,2008,,,,,,,,,,,1,94,1,2008
4936,FLOOD,IDN32,JAWA BARAT,INDRAMAYU,1-Feb-08,2,1,2008,,,,,,,,,,,,3095,1,2008
4942,FLOOD,IDN35,JAWA TIMUR,MOJOKERTO,1-Feb-08,2,1,2008,,,,,,,,,,,,42,1,2008
4950,FLOOD,IDN12,SUMATERA UTARA,ASAHAN,1-Feb-08,2,1,2008,,,,,,,,,,,,75,1,2008
4937,FLOOD,IDN32,JAWA BARAT,KOTA BEKASI,1-Feb-08,2,1,2008,,,,,,,,,,,,,,2008
